Method, Sample size, Current Sample, Valid configs, Defective configs, Visit configs, Evaluated configs, Time (s)
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 138, 137, 137, 32714, 2767, 0.9584393501281738, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 139, 138, 138, 32967, 2770, 1.3733546733856201, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 140, 139, 139, 33253, 2778, 1.9189276695251465, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 141, 140, 140, 33429, 2780, 1.0741589069366455, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 142, 141, 141, 33726, 2792, 2.0871188640594482, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 143, 142, 142, 34023, 2801, 2.140272855758667, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 144, 143, 143, 34199, 2807, 1.1774117946624756, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 145, 144, 144, 34463, 2827, 1.644599437713623, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 146, 145, 145, 34760, 2851, 1.8078391551971436, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 147, 146, 146, 35013, 2859, 1.6620852947235107, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 148, 147, 147, 35211, 2864, 1.5614092350006104, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 149, 148, 148, 35508, 2869, 1.6874229907989502, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 150, 149, 149, 35805, 2877, 1.831127405166626, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 151, 150, 150, 36102, 2898, 1.697556734085083, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 152, 151, 151, 36344, 2904, 1.26362943649292, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 153, 152, 152, 36641, 2916, 1.9488933086395264, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 154, 153, 153, 36927, 2929, 1.7758026123046875, 
