Run, Algorithm, StoppingCondition, Exploration Weight, ExecutionTime, Features, Valid Config, Reward, Nodes, Simulations, Configuration
0, "UCT MCTS (sc:iters=10, ew=0.5)", 10, 0.5, 0.1377725601196289, 4, True, 49, 44, 40, "['AAFMFramework', 'System', 'Metamodels', 'Linux']"
1, "UCT MCTS (sc:iters=10, ew=0.5)", 10, 0.5, 0.13565945625305176, 4, True, 49, 44, 40, "['AAFMFramework', 'System', 'Metamodels', 'Linux']"
2, "UCT MCTS (sc:iters=10, ew=0.5)", 10, 0.5, 0.946497917175293, 30, True, 23, 330, 300, "['DecisionModel', 'Win', 'ParserTechnology', 'pycryptosat', 'pipdeptree', 'pydepqbf', 'pyglucose', 'setuptools', 'SPLOT', 'System', 'SimpleParse', 'python-sat', 'Solvers', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'FeatureModel', 'six', 'pip', 'Utils', 'Lingeling', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'pylgl', 'AAFMFramework', 'pkg-resources']"
3, "UCT MCTS (sc:iters=10, ew=0.5)", 10, 0.5, 0.13364291191101074, 4, True, 49, 44, 40, "['AAFMFramework', 'System', 'Metamodels', 'Linux']"
4, "UCT MCTS (sc:iters=10, ew=0.5)", 10, 0.5, 0.13469791412353516, 4, True, 49, 44, 40, "['AAFMFramework', 'Win', 'System', 'Metamodels']"
5, "UCT MCTS (sc:iters=10, ew=0.5)", 10, 0.5, 0.14364314079284668, 4, True, 49, 44, 40, "['AAFMFramework', 'System', 'Metamodels', 'Linux']"
6, "UCT MCTS (sc:iters=10, ew=0.5)", 10, 0.5, 0.9853951930999756, 32, True, 21, 352, 320, "['wheel', 'DecisionModel', 'MiniSAT', 'ParserTechnology', 'pycryptosat', 'pyglucose', 'pipdeptree', 'setuptools', 'SPLOT', 'UVL', 'System', 'pycosat', 'SimpleParse', 'python-sat', 'Solvers', 'Linux', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'FeatureModel', 'six', 'pip', 'Utils', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'pyPicosat', 'satyrn', 'AAFMFramework', 'pkg-resources']"
7, "UCT MCTS (sc:iters=10, ew=0.5)", 10, 0.5, 0.1326463222503662, 4, True, 49, 44, 40, "['AAFMFramework', 'System', 'Metamodels', 'Linux']"
8, "UCT MCTS (sc:iters=10, ew=0.5)", 10, 0.5, 0.2593369483947754, 7, True, 46, 77, 70, "['SPLOT', 'Win', 'System', 'FeatureIDE', 'AAFMFramework', 'Metamodels', 'Interoperability']"
9, "UCT MCTS (sc:iters=10, ew=0.5)", 10, 0.5, 0.13765931129455566, 4, True, 49, 44, 40, "['AAFMFramework', 'Win', 'System', 'Metamodels']"
10, "UCT MCTS (sc:iters=10, ew=0.5)", 10, 0.5, 0.5525517463684082, 14, True, 39, 154, 140, "['wheel', 'pybind11', 'setuptools', 'DecisionModel', 'DepMng', 'System', 'Win', 'pip', 'pipdeptree', 'Utils', 'AAFMFramework', 'pkg-resources', 'Metamodels', 'Packages']"
11, "UCT MCTS (sc:iters=10, ew=0.5)", 10, 0.5, 1.2054040431976318, 38, True, 15, 418, 380, "['lark-parser', 'wheel', 'DecisionModel', 'ParserTechnology', 'pycryptosat', 'pyglucose', 'FeatureIDE', 'pydepqbf', 'pipdeptree', 'UVL', 'setuptools', 'System', 'pycosat', 'SimpleParse', 'Glucose', 'python-sat', 'antlr4-python3-runtime', 'Solvers', 'Linux', 'umo', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'FeatureModel', 'six', 'PicoSAT', 'pip', 'Utils', 'Lingeling', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'pyPicosat', 'AAFMFramework', 'pkg-resources']"
